"LogFile","CurrentLogSize","MaxLogSize","Default","Recommended","IsLogFull","LogMode","CorrectSetting"
"Application.evtx","1.07 MB","20 MB","20 MB","","False","Circular","N"
"Microsoft-Windows-AppLocker%4EXE and DLL.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-AppLocker%4MSI and Script.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-AppLocker%4Packaged app-Deployment.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-AppLocker%4Packaged app-Execution.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-Bits-Client%4Analytic.evtx","0.00 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-Bits-Client%4Operational.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-CodeIntegrity%4Operational.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-DriverFrameworks-UserMode%4Operational.evtx","0.00 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-NTLM%4Operational.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-PowerShell%4Operational.evtx","15.00 MB","15 MB","20 MB","","True","Circular","N"
"Microsoft-Windows-PrintService%4Admin.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-PrintService%4Operational.evtx","0.00 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-Security-Mitigations%4KernelMode.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-Security-Mitigations%4UserMode.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-SmbClient%4Security.evtx","0.07 MB","8 MB","8 MB","","False","Circular","N"
"Microsoft-Windows-TaskScheduler%4Operational.evtx","0.00 MB","10 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx","0.07 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-Windows Defender%4Operational.evtx","1.07 MB","16 MB","16MB","","False","Circular","N"
"Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx","1.00 MB","1 MB","1 MB","","False","Circular","N"
"Microsoft-Windows-WMI-Activity%4Operational.evtx","1.00 MB","1 MB","1 MB","","False","Circular","N"
"Security.evtx","5.07 MB","20 MB","20 MB","","False","Circular","N"
"System.evtx","1.07 MB","20 MB","20 MB","","False","Circular","N"
"Windows PowerShell.evtx","15.00 MB","15 MB","15 MB","","True","Circular","N"
